gene,ensg,tumor_median_log2,normal_median_log2,fc_log2,gtex_positive_count,tumor_positive_rate,tsi,tsi_norm,rank
PLXNB3,ENSG00000198753,2.245,3.176,-0.93,7711,0.733,-0.008,0.19327731076195184,2482
CNTN3,ENSG00000113805,-1.552,0.633,-2.19,6822,0.314,-0.008,0.19327731076195184,2483
MUC21,ENSG00000204544,-6.506,-3.458,-3.05,3133,0.155,-0.008,0.19327731076195184,2484
CLEC1A,ENSG00000150048,0.423,1.449,-1.03,7482,0.647,-0.008,0.19327731076195184,2485
IL1RL1,ENSG00000115602,-1.732,1.145,-2.88,7289,0.243,-0.008,0.19327731076195184,2486
SYP,ENSG00000102003,0.058,1.368,-1.31,7772,0.515,-0.008,0.19327731076195184,2487
PCDHGB7,ENSG00000254122,0.476,1.595,-1.12,7427,0.592,-0.008,0.19327731076195184,2488
ZDHHC11,ENSG00000188818,1.385,2.359,-0.97,7827,0.767,-0.008,0.19327731076195184,2489
HEPH,ENSG00000089472,1.964,2.77,-0.81,7541,0.827,-0.008,0.19327731076195184,2490
IGSF9B,ENSG00000080854,-0.088,1.276,-1.36,7451,0.484,-0.008,0.19327731076195184,2491
SLC16A7,ENSG00000118596,-0.267,1.305,-1.57,7683,0.451,-0.008,0.19327731076195184,2492
PKD2,ENSG00000118762,2.971,3.736,-0.76,7784,0.973,-0.008,0.19327731076195184,2493
PTCH1,ENSG00000185920,1.708,2.496,-0.79,7767,0.885,-0.008,0.19327731076195184,2494
RAMP3,ENSG00000122679,3.401,4.06,-0.66,7406,0.985,-0.008,0.19327731076195184,2495
NRG2,ENSG00000158458,-1.318,0.816,-2.13,7221,0.301,-0.008,0.19327731076195184,2496
LSMEM1,ENSG00000181016,-0.375,1.449,-1.82,7832,0.371,-0.008,0.19327731076195184,2497
LILRB5,ENSG00000105609,-0.196,1.239,-1.44,7171,0.459,-0.008,0.19327731076195184,2498
TEK,ENSG00000120156,0.816,1.872,-1.06,7381,0.683,-0.008,0.19327731076195184,2499
FLT4,ENSG00000037280,1.246,2.039,-0.79,7454,0.824,-0.008,0.19327731076195184,2500
CDH23,ENSG00000107736,-0.072,1.328,-1.4,7657,0.485,-0.008,0.19327731076195184,2501
LRRC37B,ENSG00000185158,2.712,3.392,-0.68,7835,0.996,-0.008,0.19327731076195184,2502
TIE1,ENSG00000066056,2.755,3.434,-0.68,7626,0.975,-0.008,0.19327731076195184,2503
DLL1,ENSG00000198719,1.688,2.506,-0.82,7557,0.816,-0.008,0.19327731076195184,2504
TMEM204,ENSG00000131634,3.275,4.116,-0.84,7779,0.995,-0.009,0.1848739494244757,2505
VSTM4,ENSG00000165633,1.401,2.365,-0.96,7470,0.763,-0.009,0.1848739494244757,2506
CALHM2,ENSG00000138172,3.454,4.266,-0.81,7834,0.992,-0.009,0.1848739494244757,2507
TTYH2,ENSG00000141540,1.444,2.398,-0.95,7825,0.822,-0.009,0.1848739494244757,2508
CNR1,ENSG00000118432,-2.114,1.396,-3.51,7356,0.229,-0.009,0.1848739494244757,2509
PTGIR,ENSG00000160013,0.38,1.714,-1.33,7519,0.597,-0.009,0.1848739494244757,2510
FNDC4,ENSG00000115226,2.306,3.141,-0.83,7509,0.897,-0.009,0.1848739494244757,2511
LEPR,ENSG00000116678,1.171,2.144,-0.97,7718,0.794,-0.009,0.1848739494244757,2512
SLC12A4,ENSG00000124067,4.256,5.081,-0.83,7834,1.0,-0.009,0.1848739494244757,2513
PLXNA2,ENSG00000076356,2.556,3.363,-0.81,7770,0.965,-0.009,0.1848739494244757,2514
KIT,ENSG00000157404,0.919,2.029,-1.11,7318,0.658,-0.009,0.1848739494244757,2515
GABRG2,ENSG00000113327,-9.966,-6.506,-3.46,1952,0.116,-0.009,0.1848739494244757,2516
ITGA10,ENSG00000143127,-0.969,1.71,-2.68,7678,0.291,-0.009,0.1848739494244757,2517
CLDN15,ENSG00000106404,2.322,3.129,-0.81,7835,0.987,-0.009,0.1848739494244757,2518
LRP1,ENSG00000123384,5.483,6.29,-0.81,7835,1.0,-0.009,0.1848739494244757,2519
MAMDC4,ENSG00000177943,1.164,2.208,-1.04,7846,0.773,-0.009,0.1848739494244757,2520
TMEFF2,ENSG00000144339,-5.574,-1.884,-3.69,5026,0.168,-0.009,0.1848739494244757,2521
MOG,ENSG00000204655,-9.966,-3.816,-6.15,3354,0.089,-0.009,0.1848739494244757,2522
SCN4B,ENSG00000177098,0.402,1.762,-1.36,7104,0.579,-0.009,0.1848739494244757,2523
GAS1,ENSG00000180447,1.919,2.888,-0.97,7365,0.771,-0.009,0.1848739494244757,2524
TNFRSF25,ENSG00000215788,2.75,3.564,-0.81,7793,0.952,-0.009,0.1848739494244757,2525
SLC7A2,ENSG00000003989,1.74,2.791,-1.05,7356,0.737,-0.009,0.1848739494244757,2526
LTB4R,ENSG00000213903,1.753,2.621,-0.87,7835,0.927,-0.009,0.1848739494244757,2527
NKAIN3,ENSG00000185942,-9.966,-5.012,-4.95,2531,0.088,-0.009,0.1848739494244757,2528
RECK,ENSG00000122707,1.588,2.462,-0.87,7776,0.88,-0.009,0.1848739494244757,2529
PLXNB1,ENSG00000164050,5.254,6.094,-0.84,7826,0.997,-0.009,0.1848739494244757,2530
DLK1,ENSG00000185559,-6.506,-2.245,-4.26,5087,0.153,-0.009,0.1848739494244757,2531
CACNA1C,ENSG00000151067,0.586,1.96,-1.37,7376,0.628,-0.01,0.1764705880869995,2532
NPY1R,ENSG00000164128,-0.759,1.406,-2.17,7186,0.396,-0.01,0.1764705880869995,2533
GDPD5,ENSG00000158555,2.307,3.265,-0.96,7835,0.966,-0.01,0.1764705880869995,2534
SYNPR,ENSG00000163630,-9.966,-4.608,-5.36,2379,0.094,-0.01,0.1764705880869995,2535
GJA4,ENSG00000187513,2.678,3.596,-0.92,7411,0.976,-0.01,0.1764705880869995,2536
LRRN4CL,ENSG00000177363,-0.808,1.527,-2.34,6995,0.354,-0.01,0.1764705880869995,2537
PRIMA1,ENSG00000175785,-0.394,1.428,-1.82,6860,0.451,-0.01,0.1764705880869995,2538
SLC2A4,ENSG00000181856,-0.783,1.683,-2.47,7491,0.345,-0.01,0.1764705880869995,2539
SCARF1,ENSG00000074660,1.604,2.511,-0.91,7807,0.926,-0.01,0.1764705880869995,2540
ATP1B2,ENSG00000129244,-0.267,1.705,-1.97,7505,0.45,-0.01,0.1764705880869995,2541
BOC,ENSG00000144857,2.632,3.621,-0.99,7468,0.895,-0.01,0.1764705880869995,2542
SCNN1D,ENSG00000162572,0.688,1.997,-1.31,7811,0.661,-0.01,0.1764705880869995,2543
PDGFRB,ENSG00000113721,4.245,5.126,-0.88,7802,0.994,-0.01,0.1764705880869995,2544
THBD,ENSG00000178726,2.69,3.678,-0.99,7736,0.914,-0.01,0.1764705880869995,2545
CD34,ENSG00000174059,3.948,4.846,-0.9,7614,0.998,-0.01,0.1764705880869995,2546
VIPR1,ENSG00000114812,1.486,2.642,-1.16,7590,0.722,-0.01,0.1764705880869995,2547
CACNG7,ENSG00000105605,-9.966,-4.608,-5.36,2691,0.098,-0.01,0.1764705880869995,2548
TSPAN8,ENSG00000127324,0.688,2.248,-1.56,7230,0.57,-0.01,0.1764705880869995,2549
ITGA5,ENSG00000161638,4.888,5.746,-0.86,7836,0.999,-0.01,0.1764705880869995,2550
GRIK5,ENSG00000105737,-0.941,1.428,-2.37,7488,0.38,-0.01,0.1764705880869995,2551
TMEM132C,ENSG00000181234,-4.293,0.3,-4.59,6437,0.173,-0.01,0.1764705880869995,2552
SLC22A17,ENSG00000092096,3.412,4.386,-0.97,7773,0.939,-0.01,0.1764705880869995,2553
CLMP,ENSG00000166250,0.792,2.151,-1.36,7187,0.61,-0.01,0.1764705880869995,2554
EPHB6,ENSG00000106123,2.483,3.498,-1.02,7827,0.852,-0.01,0.1764705880869995,2555
RGR,ENSG00000148604,-9.966,-2.826,-7.14,4261,0.09,-0.01,0.1764705880869995,2556
PARM1,ENSG00000169116,2.755,3.709,-0.95,7541,0.88,-0.01,0.1764705880869995,2557
FZD4,ENSG00000174804,2.183,3.101,-0.92,7435,0.943,-0.01,0.1764705880869995,2558
SLC26A6,ENSG00000225697,3.045,3.95,-0.91,7835,0.997,-0.01,0.1764705880869995,2559
SEMA6D,ENSG00000137872,0.402,1.82,-1.42,7299,0.581,-0.01,0.1764705880869995,2560
STAB1,ENSG00000010327,4.443,5.372,-0.93,7791,0.999,-0.011,0.16806722674952335,2561
GHR,ENSG00000112964,0.19,1.888,-1.7,7355,0.531,-0.011,0.16806722674952335,2562
ACVRL1,ENSG00000139567,2.787,3.727,-0.94,7755,0.991,-0.011,0.16806722674952335,2563
GPR162,ENSG00000250510,0.865,2.17,-1.31,7778,0.717,-0.011,0.16806722674952335,2564
FCGR2C,ENSG00000244682,1.164,2.531,-1.37,7593,0.72,-0.011,0.16806722674952335,2565
GPER1,ENSG00000164850,0.723,2.192,-1.47,7798,0.644,-0.011,0.16806722674952335,2566
PTPRZ1,ENSG00000106278,-1.732,0.758,-2.49,6698,0.37,-0.011,0.16806722674952335,2567
NGFR,ENSG00000064300,1.396,2.824,-1.43,7571,0.69,-0.011,0.16806722674952335,2568
ADCY6,ENSG00000174233,3.621,4.549,-0.93,7620,0.988,-0.011,0.16806722674952335,2569
LRRC32,ENSG00000137507,3.622,4.577,-0.95,7726,0.992,-0.011,0.16806722674952335,2570
SIDT2,ENSG00000149577,4.223,5.155,-0.93,7835,1.0,-0.011,0.16806722674952335,2571
MPZ,ENSG00000158887,-0.028,1.942,-1.97,7834,0.494,-0.011,0.16806722674952335,2572
PTPRM,ENSG00000173482,4.054,5.004,-0.95,7770,0.996,-0.011,0.16806722674952335,2573
SLC43A1,ENSG00000149150,2.208,3.263,-1.05,7834,0.922,-0.011,0.16806722674952335,2574
LPL,ENSG00000175445,1.357,2.71,-1.35,7569,0.731,-0.011,0.16806722674952335,2575
TGFBR2,ENSG00000163513,4.451,5.419,-0.97,7835,0.998,-0.011,0.16806722674952335,2576
ABCC9,ENSG00000069431,0.276,2.071,-1.79,7429,0.557,-0.012,0.1596638654120472,2577
NAALADL1,ENSG00000168060,1.848,3.011,-1.16,7834,0.924,-0.012,0.1596638654120472,2578
GFRA1,ENSG00000151892,-0.619,1.774,-2.39,7320,0.433,-0.012,0.1596638654120472,2579
F3,ENSG00000117525,3.93,5.093,-1.16,7584,0.927,-0.012,0.1596638654120472,2580
AGER,ENSG00000204305,1.755,2.928,-1.17,7835,0.896,-0.012,0.1596638654120472,2581
TMEM255B,ENSG00000184497,1.774,2.878,-1.1,7799,0.946,-0.012,0.1596638654120472,2582
CNTNAP3B,ENSG00000154529,0.178,2.148,-1.97,7534,0.537,-0.012,0.1596638654120472,2583
CHL1,ENSG00000134121,0.152,2.022,-1.87,7136,0.522,-0.012,0.1596638654120472,2584
C14orf132,ENSG00000227051,0.904,2.42,-1.52,7455,0.663,-0.012,0.1596638654120472,2585
NTRK3,ENSG00000140538,-1.392,1.82,-3.21,7173,0.319,-0.012,0.1596638654120472,2586
TPCN1,ENSG00000186815,4.054,5.074,-1.02,7834,1.0,-0.012,0.1596638654120472,2587
GPM6B,ENSG00000046653,1.105,2.63,-1.53,7636,0.71,-0.012,0.1596638654120472,2588
SLC22A3,ENSG00000146477,0.357,2.233,-1.88,7268,0.542,-0.012,0.1596638654120472,2589
NLGN2,ENSG00000169992,2.881,3.985,-1.1,7759,0.966,-0.012,0.1596638654120472,2590
TMEM178A,ENSG00000152154,0.323,2.115,-1.79,7567,0.566,-0.012,0.1596638654120472,2591
NTRK2,ENSG00000148053,0.706,2.498,-1.79,7201,0.586,-0.012,0.1596638654120472,2592
NOTCH4,ENSG00000204301,2.404,3.48,-1.08,7813,0.993,-0.012,0.1596638654120472,2593
SEMA6C,ENSG00000143434,2.079,3.21,-1.13,7807,0.951,-0.012,0.1596638654120472,2594
CEACAM19,ENSG00000186567,1.385,2.705,-1.32,7728,0.83,-0.012,0.1596638654120472,2595
DDR2,ENSG00000162733,1.816,3.208,-1.39,7564,0.818,-0.013,0.15126050407457103,2596
LMBR1L,ENSG00000139636,4.318,5.487,-1.17,7835,1.0,-0.013,0.15126050407457103,2597
SLC2A3,ENSG00000059804,3.494,4.699,-1.2,7835,0.988,-0.013,0.15126050407457103,2598
SCN1B,ENSG00000105711,2.506,3.743,-1.24,7828,0.938,-0.013,0.15126050407457103,2599
ADCY2,ENSG00000078295,-0.664,1.812,-2.48,6968,0.43,-0.013,0.15126050407457103,2600
EDNRB,ENSG00000136160,1.753,3.146,-1.39,7625,0.817,-0.013,0.15126050407457103,2601
